"","Reporter","Year","FAOGroup","FMI_Imp1"
"246","Bahrain",2016,"Molluscs excl. cephalopods",0.508522054615576
"247","Bahrain",2016,"Pelagic fish",0.48905004720593
"248","Bahrain",2017,"Aquatic animals nei",0.507866768622596
"249","Bahrain",2017,"Cephalopods",0.473390581613147
"250","Bahrain",2017,"Crustaceans",0.441819350598336
"251","Bahrain",2017,"Demersal fish",0.447344668835777
"252","Bahrain",2017,"Freshwater & diadromous fish",0.448862054320193
"253","Bahrain",2017,"Marine fish nei",0.397379164473481
"254","Bahrain",2017,"Molluscs excl. cephalopods",0.508684153202399
"255","Bahrain",2017,"Pelagic fish",0.49114683188953
"256","Belarus",2012,"Aquatic animals nei",0.629252171803472
"257","Belarus",2012,"Cephalopods",0.580090868898306
"258","Belarus",2012,"Crustaceans",0.508821641139737
"259","Belarus",2012,"Demersal fish",0.712614988221219
"260","Belarus",2012,"Freshwater & diadromous fish",0.591987427854791
"261","Belarus",2012,"Marine fish nei",0.610258731610338
"262","Belarus",2012,"Molluscs excl. cephalopods",0.588876570637688
"263","Belarus",2012,"Pelagic fish",0.716715586373476
"264","Belarus",2013,"Aquatic animals nei",0.629252171803472
"265","Belarus",2013,"Cephalopods",0.591800703180704
"266","Belarus",2013,"Crustaceans",0.513287302198045
"267","Belarus",2013,"Demersal fish",0.697550742841375
"268","Belarus",2013,"Freshwater & diadromous fish",0.569239927032324
"269","Belarus",2013,"Marine fish nei",0.614808430083011
"270","Belarus",2013,"Molluscs excl. cephalopods",0.579072069944552
"271","Belarus",2013,"Pelagic fish",0.713369332232022
"272","Belarus",2014,"Aquatic animals nei",0.629252171803472
"273","Belarus",2014,"Cephalopods",0.598086416114295
"274","Belarus",2014,"Crustaceans",0.525071786317711
"275","Belarus",2014,"Demersal fish",0.710832324651095
"276","Belarus",2014,"Freshwater & diadromous fish",0.615846919657826
"277","Belarus",2014,"Marine fish nei",0.618296764514231
"278","Belarus",2014,"Molluscs excl. cephalopods",0.585533808167535
"279","Belarus",2014,"Pelagic fish",0.715060911836034
"280","Belarus",2015,"Aquatic animals nei",0.629252171803472
"281","Belarus",2015,"Cephalopods",0.600064311363042
"282","Belarus",2015,"Crustaceans",0.555826254093583
"283","Belarus",2015,"Demersal fish",0.71151284987168
"284","Belarus",2015,"Freshwater & diadromous fish",0.625514691237607
"285","Belarus",2015,"Marine fish nei",0.615736785249727
"286","Belarus",2015,"Molluscs excl. cephalopods",0.569713212469109
"287","Belarus",2015,"Pelagic fish",0.713107004938005
"288","Belarus",2016,"Aquatic animals nei",0.629252171803472
