HS6,ProductType,ConversionFactor,ConversionDesc,FAOGroup,Derivation,,,,,,
030334,"Fish; frozen, turbots (Psetta maxima, Scophthalmidae), excluding fillets, livers, roes, and other fish meat of heading 0304",1.25,FAO Direct; average of flatfish dressed gutted/head on; dressed gutted/head off,Demersal fish,FAO,,,,,,
030339,"Fish; flat fish, frozen, n.e.s. in item no. 0303.3 (excluding fillets, livers, roes and other fish meat of heading no. 0304)",1.25,FAO Direct; average of flatfish dressed gutted/head on; dressed gutted/head off,Demersal fish,FAO,,,,,,
030341,"Fish; albacore or longfinned tunas (thunnus alalunga), frozen (excluding fillets, livers, roes and other fish meat of heading no. 0304)",1.26,"FAO Direct; average of Other tunas gutted/head on, gutted/head off",Pelagic fish,FAO,,,,,,
030342,"Fish; yellowfin tunas (thunnus albacares), frozen (excluding fillets, livers, roes and other fish meat of heading no. 0304)",1.1,FAO Direct; yellowfin gutted/head on,Pelagic fish,FAO,,,,,,
030343,"Fish; skipjack or stripe-bellied bonito, frozen (excluding fillets, livers, roes and other fish meat of heading no. 0304)",1.1,FAO Direct; skipjack gutted/head on,Pelagic fish,FAO,,,,,,
030344,"Fish; bigeye tunas (Thunnus obesus), frozen, (excluding fillets, livers, roes and other fish meat of heading no. 0304)",1.26,"FAO Direct; average of Other tunas gutted/head on, gutted/head off",Pelagic fish,FAO,,,,,,
030345,"Fish; bluefin tuna (Thunnus thynnus), frozen, (excluding fillets, livers, roes and other fish meat of heading no. 0304)",1.26,"FAO Direct; average of Other tunas gutted/head on, gutted/head off",Pelagic fish,FAO,,,,,,
030346,"Fish; southern bluefin tunas (Thunnus maccoyii), frozen, n.e.c. in item no. 0303.4 (excluding fillets, livers, roes and other fish meat of heading no. 0304)",1.26,"FAO Direct; average of Other tunas gutted/head on, gutted/head off",Pelagic fish,FAO,,,,,,
030349,"Fish; tuna, frozen, n.e.s. in item no. 0303.4 (excluding fillets, livers, roes and other fish meat of heading no. 0304)",1.26,"FAO Direct; average of Other tunas gutted/head on, gutted/head off",Pelagic fish,FAO,,,,,,
030350,"Fish; herrings (clupea harengus, clupea pallasii), frozen (excluding fillets, livers, roes and other fish meat of heading no. 0304)",1.26,"FAO Direct; average of herring gutted/head on, gutted/head off",Pelagic fish,FAO,,,,,,
030351,"Fish; herrings (Clupea harengus, Clupea pallasii), frozen (excluding fillets, livers, roes and other fish meat of heading no. 0304)",1.26,"FAO Direct; average of herring gutted/head on, gutted/head off",Pelagic fish,FAO,,,,,,
030352,"Fish; cod (Gadus morhua, Gadus ogac, Gadus macrocephalus), frozen (excluding fillets, livers, roes and other fish meat of heading no. 0304)",1.445,"FAO Direct; average of cod gutted/head on, cod gutted/head off",Demersal fish,FAO,,,,,,
030353,"Fish; frozen, sardines (Sardina pilchardus, Sardinops spp.), sardinella (Sardinella spp.), brisling or sprats (Sprattus sprattus), excluding fillets, livers, roes, and other fish meat of heading 0304",1.143333333,"FAO Direct; average of sardine, sprat gutted/head on, gutted/head off",Pelagic fish,FAO,,,,,,
030354,"Fish; frozen, mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus), excluding fillets, livers, roes, and other fish meat of heading 0304",1.285,"FAO Direct; average of mackerel gutted/head on, gutted/head off",Pelagic fish,FAO,,,,,,
030355,"Fish; frozen, jack and horse mackerel (Trachurus spp.), excluding fillets, livers, roes, and other fish meat of heading 0304",1.37,"FAO Direct; average of jack and horse mackerel gutted/head on, gutted/head off",Pelagic fish,FAO,,,,,,
030356,"Fish; frozen, cobia (Rachycentron canadum), excluding fillets, livers, roes, and other fish meat of heading 0304",1.29,FAO Assumed; frozen bonito gutted/head off,Marine fish nei,Est,,,,,,
030357,"Fish; frozen, swordfish (Xiphias gladius), excluding fillets, livers, roes, and other fish meat of heading 0304",1.31,FAO Direct; swordfish gutted/head off,Pelagic fish,FAO,,,,,,
030359,"Fish; frozen, n.e.c. in item no. 0303.5, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",1.285714286,FAO Assumed; average of all frozen fish CFs,Marine fish nei,Est,,,,,,
030360,"Fish; cod (gadus morhua, gadus ogac, gadus macrocephalus), frozen (excluding fillets, livers, roes and other fish meat of heading no. 0304)",1.445,"FAO Direct; average of cod gutted/head on, cod gutted/head off",Demersal fish,FAO,,,,,,
030361,"Fish; swordfish (Xiphias gladius), frozen (excluding fillets, livers, roes and other fish meat of heading no. 0304)",1.31,FAO Direct; swordfish gutted/head off,Pelagic fish,FAO,,,,,,
030362,"Fish; toothfish (Dissostichus spp.), frozen (excluding fillets, livers, roes and other fish meat of heading no. 0304)",1.412,FAO Assumed; average of all frozen gadidae CFs,Demersal fish,Est,,,,,,
030363,"Fish; frozen, cod (Gadus morhua, Gadus ogac, Gadus macrocephalus), excluding fillets, livers, roes, and other fish meat of heading 0304",1.445,"FAO Direct; average of cod gutted/head on, cod gutted/head off",Demersal fish,FAO,,,,,,
030364,"Fish; frozen, haddock (Melanogrammus aeglefinus), excluding fillets, livers, roes, and other fish meat of heading 0304",1.375,FAO Direct; average of haddock gutted/head on and haddock gutted/head off,Demersal fish,FAO,,,,,,
030365,"Fish; frozen, coalfish (Pollachius virens), excluding fillets, livers, roes, and other fish meat of heading 0304",1.3,"FAO Assumed; average frozen saithe gutted/head on, gutted/head off",Demersal fish,Est,,,,,,
030366,"Fish; frozen, hake (Merluccius spp., Urophycis spp.), excluding fillets, livers, roes, and other fish meat of heading 0304",1.236666667,"FAO Direct; average of hake dressed gutted/head on, dressed gutted/head off, whole gutted/head on",Demersal fish,FAO,,,,,,
030367,"Fish; frozen, Alaska pollack (Theraga chalcogramma), excluding fillets, livers, roes, and other fish meat of heading 0304",2.17,FAO Direct; Alaska pollack dressed gutted/head off,Demersal fish,FAO,,,,,,
030368,"Fish; frozen, blue whitings (Micromesistius poutassou, Micromesistius australis), excluding fillets, livers, roes, and other fish meat of heading 0304",1.412,FAO Assumed; average of all frozen gadidae CFs,Demersal fish,Est,,,,,,
030369,"Fish; frozen, of Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae, Muraenolepididae, other than cod, haddock, coalfish, hake, Alaska pollack, blue whitings, excluding fillets, livers, roes, other fish meat of 0304",1.412,FAO Assumed; average of all frozen gadidae CFs,Demersal fish,Est,,,,,,
030371,"Fish; sardines (sardina pilchardus, sardinops spp.), sardinella (sardinella spp.), brisling or sprats (sprattus sprattus), frozen (excluding fillets, livers, roes and other fish meat of heading no. 0304)",1.143333333,"FAO Direct; average of sardine, sprat gutted/head on, gutted/head off",Pelagic fish,FAO,,,,,,
030372,"Fish; haddock (melanogrammus aeglefinus), frozen (excluding fillets, livers, roes and other fish meat of heading no. 0304)",1.375,FAO Direct; average of haddock gutted/head on and haddock gutted/head off,Demersal fish,FAO,,,,,,
030373,"Fish; coalfish (pollachius virens), frozen (excluding fillets, livers, roes and other fish meat of heading no. 0304)",1.3,"FAO Assumed; average frozen saithe gutted/head on, gutted/head off",Demersal fish,Est,,,,,,
030374,"Fish; mackerel (scomber scombrus, scomber australasicus, scomber japonicus), frozen (excluding fillets, livers, roes and other fish meat of heading no. 0304)",1.285,"FAO Direct; average of mackerel gutted/head on, gutted/head off",Pelagic fish,FAO,,,,,,
030375,"Fish; dogfish and other sharks, frozen (excluding fillets, livers, roes and other fish meat of heading no. 0304)",1.55,"FAO Direct; average of shark gutted/head on, gutted head/off",Demersal fish,FAO,,,,,,
030376,"Fish; eels (anguilla spp.), frozen (excluding fillets, livers, roes and other fish meat of heading no. 0304)",1.11,FAO Direct; gutted/head on,Freshwater & diadromous fish,FAO,,,,,,
030377,"Fish; sea bass (dicentrarchus labrax, dicentrarchus punctatus), frozen, (excluding fillets, livers, roes and other fish meat of heading no. 0304)",1.455,"FAO Direct; average of sea bass gutted/head on, gutted/headoff",Marine fish nei,FAO,,,,,,
030378,"Fish; hake (merluccius spp., urophycis spp.), frozen (excluding fillets, livers, roes and other fish meat of heading no. 0304)",1.236666667,"FAO Direct; average of hake dressed gutted/head on, dressed gutted/head off, whole gutted/head on",Demersal fish,FAO,,,,,,
030379,"Fish; frozen, n.e.s. in heading no. 0303 (excluding fillets, livers, roes and other fish meat of heading no. 0304)",1.285714286,FAO Assumed; average of all frozen fish CFs,Marine fish nei,Est,,,,,,
030380,"Fish; livers and roes, frozen",20,FAO Waterman 2001 ratio for cod,Marine fish nei,Est,,,,,,
030381,"Fish; frozen, dogfish and other sharks, excluding fillets, livers, roes, and other fish meat of heading 0304",1.55,"FAO Direct; average of shark gutted/head on, gutted head/off",Demersal fish,FAO,,,,,,
