"","Country","FMIc1","FMIc2","FMIc3","FMIc3_flp","FMIi","FMIp","Exports","Imports","Production","FoodSupply"
"56","Paraguay",0.480029961019392,0.49428159095076,0.497231825671122,0.53279542972215,0.486792754911069,0.478777558546064,90.5,25354.31,136912,162175.82
"57","Peru",0.6065398147025,0.598119967089313,0.591579666372078,0.593331454286127,0.559271725606871,0.613,3713579.52,822653.67,27660049,4416591.33
"58","Philippines",0.397056293628288,0.42192650319572,0.438707608392075,0.497107402404437,0.517072303178016,0.381,2361218.26,2390984.27,17507236,17536825
"59","Poland",0.718319796371062,0.861199177278863,0.697022176916581,0.771547771161706,0.628643071041986,0.936795147,3160041.35,4476894.66,1475742,2564651.37
"60","Portugal",0.637082134405629,0.663150002560652,0.635403526932377,0.665994633913977,0.622324496167915,0.674310541,2047776.23,4416311.73,1189905,3407848.51
"61","Qatar",0.466438090256319,0.463809103788268,0.468286780339078,0.482502091306146,0.468558757424871,0.460681043,9737.69,271776.03,84749,346216.33
"62","Romania",0.65335191269955,0.80705160532916,0.64008205931686,0.724591337396505,0.617794321447562,0.876877064,39599.27,752952.41,119704,813069.17
"63","Russia",0.78543592229468,0.776226053828887,0.730915380023383,0.705141253062346,0.611373161582766,0.838,12500457.53,6084906.67,28009993,18894297.14
"64","Senegal",0.559405658942536,0.568872893399693,0.571313841619203,0.602549515810752,0.605904699285203,0.558,1105716.93,103492.71,2792881,1790663.35
"65","Serbia",0.573109368016898,0.554779640993327,0.568651914099606,0.573141902519087,0.576933378051498,0.553654498,11253.01,279261.83,60957,328962.85
"66","Singapore",0.47608784464304,0.531738079654898,0.475694183698324,0.517102486565029,0.478407670273644,0.551760263,387915.93,1983146.82,42615,1637845.85
"67","Slovakia",0.696025615432205,0.862493031108751,0.690550422668441,0.789041658409559,0.679242816881621,0.92751015735356,22566.75,289911.63,21354,288566.9
"68","Slovenia",0.589702765124671,0.651142394884224,0.587307760190061,0.633335770810804,0.579869582528022,0.675585076,56835.95,183499.92,11186,137752.01
"69","South Africa",0.72151585817196,0.740420521561712,0.68802242051752,0.691474026302072,0.578948474206884,0.787,982314.33,1445057.19,3448140,2194157.51
"70","South Korea",0.660371274227113,0.667484186074091,0.641906971395069,0.650056091304887,0.61495998588027,0.692,3786073.77,9888740.77,12270547,16835314
"71","Spain",0.623409261913843,0.664483367224211,0.61411266104156,0.645436304631155,0.588561524954709,0.69,7455488.55,12296776.46,7467892,11942065.57
"72","Sri Lanka",0.532706208139624,0.528506142680018,0.520258644873988,0.523941162950045,0.506206934303959,0.541872816,160785.13,1097879.96,3182270,3832010.84
"73","Sweden",0.676334761335145,0.744277539707082,0.672266741562403,0.722726784250807,0.664673027494237,0.773,5575701.13,6408275.83,1259035,1937488.71
"74","Switzerland",0.564600410882442,0.649925017237726,0.56369663300103,0.621977879996688,0.561371733863894,0.680981590291916,5712.2,834225.76,21515,853977.09
"75","Taiwan",0.568907022078172,0.587316640160646,0.556152158257095,0.571820293877036,0.516978294939333,0.608993679,4709101.17,2455984.74,7268804,4529677.55
"76","Thailand",0.402811190791493,0.370919541271264,0.441988219926804,0.47053036517458,0.561703131831697,0.313,12717629.26,10751709.77,15584552,10814901.53
"77","Turkey",0.460564283522383,0.484626383967771,0.512297920088502,0.580488073011414,0.6443839906802,0.431393873,1006929.71,602127.09,3674084,2576171.19
"78","Ukraine",0.707402955484471,0.785284636900652,0.692592727393342,0.740061231234359,0.66592810939927,0.830308065,289736.47,2752942.87,925563,3388769.4
"79","United Kingdom",0.67858255909344,0.739044735590248,0.657857997239785,0.691010573721211,0.608501711377024,0.785,5312066.44,7510864.51,5468056,7673099.8
"80","United States",0.698525174943635,0.824010173311993,0.644934983747589,0.683755250971059,0.510289920180108,0.932,12416410.95,30441033.27,32646792,41786185.74
"81","Uruguay",0.561792982749855,0.591510740275387,0.555994221275124,0.582741786581277,0.564802949668955,0.60886651,384517.18,179307.51,374213,165958.63
