Product,Product_Description
30441000,"030441000 Fillets Of Pacific Salmon (Oncorhynchus Nerka, Oncorhynchus Gorbuscha, Oncorhynchus Keta, Oncorhynchus Tschawytscha, Oncorhynchuskisutch, Oncorhynchus Masou And Oncorhynchus Rhodurus), Atlantic Salmon (Salmo Salar) And Danube Salmon (Hucho Hucho), Fresh O"
30442000,"030442000 Fillets Of Trout (Salmo Trutta, Oncorhynchus Mykiss, Oncorhynchus Clarki, Oncorhynchus Aguabonita, Oncorhynchus Gilae, Oncorhynchus Apache And Oncorhynchus Chrysogaster), Fresh Or Chilled"
30449100,"030449100 Fillets Of Nishin (Clupea Spp.), Buri (Seriola Spp.), Saba (Scomber Spp.), Iwashi (Etrumeus Spp., Sardinops Spp. And Engraulis Spp.), Aji(Trachurus Spp. And Decapterus Spp.) And Samma(Cololabis Spp.),Fresh Or Chilled"
30449200,"030449200 Fillets Of Buri(Seriola Spp.), Fresh Or Chilled"
30451000,"030451000 Fish Meat Of Tilapias (Oreochromis Spp.), Catfish (Pangasius Spp., Silurus Spp., Clarias Spp., Ictalurus Spp.), Carp (Cyprinus Carpio, Carassius Carassius, Ctenopharyngodon Idellus, Hypophthalmichthys Spp., Cirrhinus Spp., Mylopharyngodon Piceus), Eels (A"
30452000,030452000 Fish Meat Of Salmonidae Fresh Or Chilled
30459000,"030459000 Other Fish Fillets , Except Salmon, Swordfish And Toothfish, Whether Or Not Minced , Fresh Or Chilled"
30459100,"030459100 Fish Meat Of Nishin (Clupea Spp.), Buri (Seriola Spp.), Saba (Scomber Spp.), Iwashi (Etrumeus Spp., Sardinops Spp. And Engraulis Spp.), Aji(Trachurus Spp. And Decapterus Spp.) And Samma(Cololabis Spp.),Fresh Or Chilled"
30461000,030461000 Frozen Fillets Of Tilapias (Oreochromis Spp.)
30462000,"030462000 Frozen Fillets Of Catfish (Pangasius Spp., Silurus Spp., Clarias Spp., Ictalurus Spp.)"
30463000,030463000 Frozen Fillets Of Nile Perch (Lates Niloticus)
30469000,"030469000 Frozen Fillets Of Carp (Cyprinus Carpio,Carassius Carassius, Ctenopharyngodon Idellus,Hypophthalmichthys Spp., Cirrhinus Spp., Mylopharyngodon Piceus),Eels (Anguilla Spp.) And Snakeheads(Channa Spp.)"
30481000,"030481000 Frozen Fillets Of Pacific Salmon (Oncorhynchus Nerka, Oncorhynchus Gorbuscha, Oncorhynchus Keta, Oncorhynchus Tschawytscha, Oncorhynchuskisutch, Oncorhynchus Masou And Oncorhynchus Rhodurus), Atlantic Salmon (Salmo Salar) And Danube Salmon (Hucho Hucho)"
30482000,"030482000 Frozen Fillets Of Trout (Salmo Trutta, Oncorhynchus Mykiss, Oncorhynchus Clarki, Oncorhynchus Aguabonita, Oncorhynchus Gilae, Oncorhynchus Apache And Oncorhynchus Chrysogaster)"
30489100,"030489100 Frozen Fillets Of Nishin (Clupea Spp.), Buri (Seriola Spp.), Saba (Scomber Spp.), Iwashi (Etrumeus Spp., Sardinops Spp. And Engraulis Spp.), Aji(Trachurus Spp. And Decapterus Spp.) And Samma(Cololabis Spp.)"
30489200,030489200 Frozen Fillets Of Fish Meat Of Buri(Seriola Spp.)
30493000,"030493000 Tilapias (Oreochromis Spp.), Catfish (Pangasius Spp., Silurus Spp., Clarias Spp., Ictalurus Spp.), Carp (Cyprinus Carpio, Carassius Carassius, Ctenopharyngodon Idellus, Hypophthalmichthys Spp., Cirrhinus Spp., Mylopharyngodon Piceus), Eels (Anguilla Spp.)"
30499120,"030499120 Fish Meat Of Buri (Seriola Spp.), Saba (Scomber Spp.), Iwashi (Etrumeus Spp., Sardinops Spp. And Engraulis Spp.), Aji (Trachurus Spp. And Decapterus Spp.) And Samma (Cololabis Spp.), Excluding Fillets, Frozen"
30520030,"030520030 Hard roes of Salmonidae, dried, smoked, salted or in brine"
30520210,"030520210 Livers And Roes, Smoked, Of Salmon"
30520220,"030520220 Livers And Roes, Dried, Salted Or In Brine, Of Salmon"
30539100,"030539100 Fillets Of Salmonidae, Dried, Salted Or In Brine, But Not Smoked"
30539200,"030539200 O/T Tilapias (Oreochromis Spp.), Catfish (Pangasius Spp., Silurus Spp., Clarias Spp., Ictalurus Spp.), Carp (Cyprinus Carpio, Carassius Carassius, Ctenopharyngodon Idellus, Hypophthalmichthys Spp., Cirrhinus Spp., Mylopharyngodon Piceus), Eels (Ang"
30539210,"030539210 Fillets Of Nishin (Clupea Spp.), Tara (Gadus Spp., Theragra Spp. And Merluccius Spp.), Buri (Seriola Spp.), Saba (Scomber Spp.), Iwashi (Etrumeus Spp., Sardinops Spp. And Engraulis Spp.), Aji (Trachurus Spp. And Decapterus Spp.) And Samma (Cololabis Spp.)"
30541000,"030541000 Pacific salmon (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus nasou and Oncorhynchus rhodurs.), Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho), including fillets"
30543000,"030543000 Smoked Trout (Salmo Trutta, Oncorhynchus Mykiss, Oncorhynchus Clarki,Oncorhynchus Aguabonita, Oncorhynchus Gilae, Oncorhynchusapache And Oncorhynchus Chrysogaster)Including Fillets, Other Than Edible Fish Offal"
30544000,"030544000 Smoked Tilapias (Oreochromis Spp.), Catfish (Pangasius Spp., Silurus Spp., Clarias Spp., Ictalurus Spp.), Carp (Cyprinus Carpio, Carassius Carassius, Ctenopharyngodon Idellus, Hypophthalmichthys Spp., Cirrhinus Spp., Mylopharyngodon Piceus), Eels (Anguill"
30559010,"030559010 Salmonidae, dried, excluding smoked"
30559020,"030559020 Nishin (Clupea spp.), Tara (Gadus spp., Theragra spp. and Merluccius spp.), Buri (Seriola spp.), Saba (Scomber spp.), Iwashi (Etrumeus spp., Sardinops spp. and Engraulis spp.), Aji (Trachurus spp. and Decapterus spp.) and Samma (Cololabis spp.), dried, ex"
302892200,"0302892200 Rohu (Labeo Rohita), Catla (Catla Catla)And Swamp Barb (Puntius Chola)"
3028922000,"03028922000 Rohu (Labeo Rohita), Catla (Catla Catla)And Swamp Barb (Puntius Chola)"
30569010,"030569010 Salmonidae, salted but not dried or smoked and fish in brine"
30572110,"030572110 Smoked Pacific Salmon (Oncorhynchus Nerka, Oncorhynchus Gorbuscha, Oncorhynchus Keta, Oncorhynchus Tschawytscha, Oncorhynchuskisutch, Oncorhynchus Masou And Oncorhynchus Rhodurus), Atlantic Salmon (Salmo Salar) And Danube Salmon (Hucho Hucho), Heads, Tail"
30579110,"030579110 Smoked Pacific Salmon (Oncorhynchus Nerka, Oncorhynchus Gorbuscha, Oncorhynchus Keta, Oncorhynchus Tschawytscha, Oncorhynchuskisutch, Oncorhynchus Masou And Oncorhynchus Rhodurus), Atlantic Salmon (Salmo Salar) And Danube Salmon (Hucho Hucho), Other Edibl"
30579229,"030579229 Dried, Excluding Nishin (Clupea Spp.), Tara (Gadus Spp., Theragra Spp. And Merluccius Spp.), Buri (Seriola Spp.), Saba (Scomber Spp.), Iwashi (Etrumeus Spp., Sardinops Spp. And Engraulis Spp.), Aji (Trachurus Spp. And Decapterus Spp.),Other Edible Fish Of"
30621900,030621900 Rock Lobster & Other Sea Crawfish  Other Than In  Airtight Container
30627190,"030627190 Other Shrimps And Prawns, Fresh Or Chilled"
30633150,"030633150 Mitten Crabs, Live, Fresh Or Chilled"
30636000,"030636000 Other Shrimps And Prawns, Live, Fresh Or Chilled"
30636110,030636110 For Fish Culture Or Releasing In The Sea (Penaeidae Spp.)
30636190,"030636190 Other Shrimps And Prawns Other Than For Fish Culture Or Releasing In A River (Penaeidea Spp.),Live"
30636900,"030636900 Other Shrimps And Prawns, Fresh Or Chilled"
30695090,"030695090 Shrimps And Prawns, Dried, Salted Or In Brine, But Not Smoked"
30695100,"030695100 Shrimps And Prawns, Smoked"
30695900,"030695900 Shrimps And Prawns, Other Than Smoked"
30711000,"030711000 Oysters, Live, Fresh Or Chilled"
30712000,"030712000 Oysters, Frozen"
30719100,"030719100 Oysters, Frozen"
30719200,"030719200 Oysters: O/T Live, Fresh Or Chilled : Dried, Salted Or In Brine"
30719290,"030719290 Oysters, Other Than Adductors Of Shellfish, Smoked"
30719300,"030719300 Oysters, Dried, Salted Or In Brine"
30719900,"030719900 Oysters, Frozen, Dried, Salted Or In Brine, But Not Smoked"
30721000,"030721000 Scallops, including queen scallops, of the genera Pecten, Chlamys or Placopecten, live, fresh or chilled"
30722000,"030722000 Scallops, Including Queen Scallops, Of The Genera Pecten, Chlamys Or Placopecten: Frozen"
30729100,"030729100 Scallops, including queen scallops, of the genera Pecten, Chlamys or Placopecten, frozen"
30729200,"030729200 Scallops, including queen scallops, of the genera Pecten, Chlamys or Placopecten, dried, salted or in brine"
30729390,"030729390 Scallops, Including Queen Scallops, Of The Genera Pecten, Chlamys Or Placopecten: O/T Live, Fresh Or Chilled : Smoked: O/T In Airtight Containers"
30729500,"030729500 Scallops, Including Queen Scallops, Of The Genera Pecten, Chlamys Or Placopecten, Smoked"
30729900,030729900 Scallops Other Than Frozen
30731000,"030731000 Mussels (Mytilus spp., Perna spp.), live, fresh or chilled"
30732000,"030732000 Mussels (Mytilus Spp., Perna Spp.), Frozen"
30739100,"030739100 Mussels (Mytilus spp., Perna spp.), frozen"
30739200,"030739200 Mussels (Mytilus spp., Perna spp.), dried, salted or in brine"
30739390,"030739390 Mussels (Mytilus Spp., Perna Spp.): O/T Live, Fresh Or Chilled: Smoked: O/T In Airtight Containers"
30739900,030739900 Mussels Other Than Frozen
30289300000,"030289300000 Cabrillas (Epinephelus Spp, Paralabrax Spp)"
30771000,"030771000 Clams, Cockles And Ark Shells (Families Arcidae, Arcticidae, Cardiidae, Donacidae, Hiatellidae, Mactridae, Mesodesmatidae, Myidae, Semelidae, Solecurtidae, Solenidae, Tridacnidae And Veneridae) , Live, Fresh Or Chilled"
30771390,"030771390 Other Clams, Cockles And Ark Shells (Families Arcidae, Arcticidae, Cardiidae, Donacidae, Hiatellidae, Mactridae, Mesodesmatidae, Myidae, Semelidae, Solecurtidae, Solenidae, Tridacnidae And Veneridae) , Live, Fresh Or Chilled"
30772000,"030772000 Clams, Cockles And Ark Shells (Families Arcidae, Arcticidae, Cardiidae, Donacidae, Hiatellidae, Mactridae, Mesodesmatidae, Myidae, Semelidae, Solecurtidae, Solenidae, Tridacnidae And Veneridae), Frozen"
30772390,"030772390 Other Clams, Cockles And Ark Shells (Families Arcidae, Arcticidae, Cardiidae, Donacidae, Hiatellidae, Mactridae, Mesodesmatidae, Myidae, Semelidae, Solecurtidae, Solenidae, Tridacnidae And Veneridae), Frozen"
30779100,"030779100 Clams, Cockles And Ark Shells (Families Arcidae, Arcticidae, Cardiidae, Donacidae, Hiatellidae, Mactridae, Mesodesmatidae, Myidae, Semelidae, Solecurtidae, Solenidae, Tridacnidae And Veneridae) , Frozen, Dried, Salted Or In Brine, Smoked"
30779200,"030779200 Clams, Cockles And Ark Shells: O/T Live, Fresh Or Chilled: Dried, Salted Or In Brine"
30779339,"030779339 Clams, Cockles And Ark Shells (Families Arcidae, Arcticidae, Cardiidae, Donacidae, Hiatellidae, Mactridae, Mesodesmatidae, Myidae, Semelidae, Solecurtidae, Solenidae, Tridacnidae And Veneridae) , NES"
30779390,"030779390 Clams, Cockles And Ark Shells: O/T Live, Fresh Or Chilled: Smoked: O/T In Airtight Containers"
30779900,"030779900 Clams, Cockles And Ark Shells (Families Arcidae, Arcticidae, Cardiidae, Donacidae, Hiatellidae, Mactridae, Mesodesmatidae, Myidae, Semelidae, Solecurtidae, Solenidae, Tridacnidae And Veneridae), Frozen, Dried, Salted Or In Brine, But Not Smoked"
30791300,"030791300 Scallops (Pectinidae), Excluding Queen Scallops, Of The Genera Pecten, Chalmys Or Placopecten, Live, Fresh Or Chilled"
30792010,"030792010 Scallops (Pectinidae), Excluding Queen Scallops, Of The Genera Pecten, Chalmys Or Placopecten, Frozen"
30792131,"030792131 Scallops,(Pectinidae)Including Flours, Meals And Pellets, Fit For Human Consumption, Live, Frozen"
30811000,"030811000 Sea Cucumbers (Stichopus Japonicus, Holothurioidea), Live, Fresh Or Chilled"
30819100,"030819100 Sea Cucumbers (Stichopus Japonicus, Holothurioidea), Smoked"
30819200,"030819200 Sea Cucumbers: O/T Live, Fresh Or Chilled : Dried, Salted Or In Brine"
30819900,"030819900 Sea Cucumbers (Stichopus Japonicus, Holothurioidea), But Not Smoked"
30830100,"030830100 Jellyfish (Rhopilema Spp.), Live"
30830300,"030830300 Jellyfish (Rhopilema Spp.): Dried, Salted Or In Brine"
30830900,"030830900 Jellyfish (Rhopilema Spp.), But Not Smoked"
302897000,0302897000 Meros (Epinephelus Guaza)
30289700000,030289700000 Meros (Epinephelus Guaza)
30890412,"030890412 Jellyfish, Dried, Salted Or In Brine Flours, Meals And Pellets Of Sea Urchins, Fit For Human Consumption"
302898941,"0302898941 Grouper, Fresh Or Chilled"
302898942,"0302898942 Milkfish, Fresh Or Chilled"
302914010,"0302914010 Mullet Roe, Fresh Or Chilled"
160411000,"160411000 Prepared or preserved salmon, whole or in pieces"
160411010,"160411010 Salmon (other than in airtight containers) prepared or preserved, whole or in pieces, but not minced"
160411090,"160411090 Salmon, in airtight containers, perpared or preserved, whole or in pieces, but not minced"
160411100,160411100 Prepared Or Preserved Salmon Whole Or In Pieces In Airtight Containers
160411900,160411900 Prepared Or Preserved Salmon Whole Or In Pieces Excluding Those In Airtight Containers
303141000,0303141000 Of The Species Oncorhynchus Apache Or Oncorhynchus Chrysogaster
303142000,"0303142000 Of The Species Oncorhynchus Mykiss, With Heads And Gills On, Gutted, Weighing More Than 1,2 Kg Each, Or With Heads Off, Gilled And Gutted, Weighing More Than 1 Kg Each"
303190001,0303190001 Milkfish (Bangus)
30325000000,"030325000000 Sazan Balklar (Cyprinus Spp., Carassius Spp., Ctenopharyngodon Idellus, Hypophthalmichthys Spp.,Vb.); Dondurulmu"
160521000,"160521000 Shrimps And Prawns, Prepared Or Preserved, In Airtight Containers"
160521011,"160521011 Shrimps And Prawns, Not In Airtight Container,(Simply Boiled In Water Or In Brine; Chilled Or Frozen After Simply Boiled In Water Or In Brine)"
160521019,"160521019 Shrimps And Prawns, Not In Airtight Container, Salted, In Brine Or Dried"
160521021,"160521021 Shrimps And Prawns, Containing Rice, Not In Airtight Container,(Excluding Simply Boiled In Water Or In Brine; Chilled Or Frozen After Simply Boiled In Water Or In Brine, Salted, In Brine Or Dried)"
160521029,"160521029 Shrimps And Prawns, Not In Airtight Container, NES"
160529000,"160529000 Shrimps And Prawns, Prepared Or Preserved, Other"
160529010,"160529010 Shrimps And Prawns, In Airtight Container, Smoked And Simply Boiled In Water Or In Brine ; Chilled, Frozen, Salted, In Brine Or Dried, After Simply Boiled In Water Or In Brine"
160529021,"160529021 Shrimps And Prawns, Containing Rice, In Airtight Container,(Excluding Simply Boiled In Water Or In Brine; Chilled Or Frozen After Simply Boiled In Water Or In Brine, Salted, In Brine Or Dried)"
160529029,"160529029 Shrimps And Prawns, In Airtight Container, NES"
160529900,160529900 O/T Not In Airtight Containers: O/T Shrimps And Prawns Sate
160551100,"160551100 Oysters, Prepared Or Preserved, In Airtight Containers"
160551190,"160551190 Oysters, Excluding Adductors Of Shellfish, Prepared Or Preserved, Smoked"
160551900,"160551900 Oysters, Prepared Or Preserved, Other"
160551910,"160551910 Oysters, In Airtight Container, Prepared Or Preserved Excluding Smoked"
160551990,"160551990 Oysters, Not In Airtight Container, Prepared Or Preserved Excluding Smoked"
160552000,"160552000 Scallops, Including Queen Scallops, Prepared Or Preserved"
160552100,"160552100 Molluscs: Scallops, Incl. Queen Scallops: In Airtight Containers"
160552900,"160552900 Molluscs Scallops, Incl. Queen Scallops O/T In Airtight Containers"
160553000,"160553000 Mussels, Prepared Or Preserved"
160553190,"160553190 Scallops, Excluding Adductors Of Shellfish, Prepared Or Preserved, Smoked"
160553990,"160553990 Scallops, Not In Airtight Container, Prepared Or Preserved Excluding Smoked"
160556000,"160556000 Clams, Cockles And Arkshells, Prepared Or Preserved"
160556100,"160556100 Molluscs: Clams, Cockles And Arkshells: In Airtight Containers"
160556910,"160556910 Clams, Cockles And Arkshells, In Airtight Container, Prepared Or Preserved Excluding Smoked"
160556990,"160556990 Clams, Cockles And Arkshells, Not In Airtight Container, Prepared Or Preserved, Excluding Smoked"
160559110,"160559110 Scallops ((Pectinidae), Other Than Those Of The Genera Pecten, Chlamys Or Placopecten And Queen Scallops), Prepared Or Preserved, Smoked"
160559190,"160559190 Scallops ((Pectinidae), Other Than Those Of The Genera Pecten, Chlamys Or Placopecten And Queen Scallops), Prepared Or Preserved, Excluding Smoked"
160561100,"160561100 Sea Cucumbers, Dried, Prepared Or Preserved"
160561900,"160561900 Sea Cucumbers, Other, Prepared Or Preserved"
160563000,"160563000 Jellyfish(Rhopilema Spp.), Prepared Or Preserved"
160563100,160563100 Jellyfish: In Airtight Containers
160563900,160563900 Jellyfish O/T In Airtight Containers
301110010,"0301110010 Koi (Common) Carp (Cyprinus Carpio), Live"
301110020,"0301110020 Goldfish (Carassius Auratus) And Crucian Carp (Carassius Carassius), Live"
301111000,0301111000 Fancy Carp
301119100,0301119100 Koi Carp (Cyprinus Carpio)
301910000,"0301910000 Trout (Salmo Trutta, Oncorhynchus Mykiss, Clarki, Aguabonita, Gilae, Apache And Chrysogaster), Live"
301910010,"0301910010 Trout, Live For Commercial Fish Farms"
301919011,"0301919011 Live Trout [Salmo Trutta, Oncorhynchus Mykiss, Oncorhynchus Clarki, Oncorhynchus Aguabonita, Oncorhynchus Gilae]"
301922000,"0301922000 Young Eels(Exceeding 0.3G And Not Exceeding 50G Per Unit, For Aquaculture)"
301930000,"0301930000 Carp, Live"
301930200,"0301930200 Carp (Cyprinus Carpio, Carassius Carassius, Ctenopharyngodon Idellus, Hypophthalmichthys Spp., Cirrhinus Spp., Mylopharyngodon Piceus), Live"
301930290,"0301930290 Carp, Live, Nesoi"
301931910,0301931910 Carpes Des Espces (Catla Catla; Labeo Spp.; Osteochilus
301991010,0301991010 Mullet Fry Mullet Fry
301991020,0301991020 Milkfish Fry Milkfish Fry
301991040,"0301991040 Grouper Fry (6 Pcs, And Over, Per Kg) Grouper Fry (6 Pcs, And Over, Per Kg)"
301991080,0301991080 Tilapias Fry
301991100,"0301991100 Milkfish Or Lapu-Lapu Fry, Live For Breeding"
301991140,"0301991140 Live Pacific Salmon Oncorhynchus Nerka, Oncorhynchus Gorbuscha, Oncorhynchus Keta, Oncorhynchus Tschawytscha, Oncorhynchus Kisutch, Oncorhynchus Masou And Oncorhynchus Rhodurus, Atlantic Salmon Salmo Salar And Danube Salmon Hucho Hucho"
301991180,"0301991180 Live Pacific Salmon Oncorhynchus Nerka, Oncorhynchus Gorbuscha, Oncorhynchus Keta, Oncorhynchus Tschawytscha, Oncorhynchus Kisutch, Oncorhynchus Masou And Oncorhynchus Rhodurus, Atlantic Salmon Salmo Salar And Danube Salmon Hucho Hucho"
301991710,"0301991710 Carp,Live,Other"
301991810,0301991810 Other Fish Of Carp Family (Cyprinidae)
301991900,"0301991900 Milkfish Or Lapu-Lapu Fry, Live For Oth Than Breeding"
301992200,"0301992200 Other Carp, Live"
301992910,"0301992910 Catfish, Live Catfish, Live"
301992943,0301992943 Micropterus Salmoides
301994010,"0301994010 Tilapia Fish, Live"
301994100,0301994100 Nile Tilapia
301994200,"0301994200 Other Carp, For Breeding"
301994900,0301994900 Walking Catfish
301998510,0301998510 European Seabass (Dicentrarchus Labrax)
301999030,0301999030 Tilapia
301999051,0301999051 Fry (For Aquaculture)
301999092,0301999092 Crusian carp
301999093,0301999093 Salmon
302110010,"0302110010 Rainbow Trout (Salmo Gairdneri), Farmed, Fresh Or Chilled, Except Fillets, Livers And Roes"
302110016,"0302110016 Fish; Trout (Oncorhynchus Mykiss/Clarki/Ag-Uabonita/Gilae/Apache/Chrysogaster), N.E.S.In Item No.0302.11.00.0, Fresh Or Chilled, Excluding Fillets,Liv"
302110029,"0302110029 Fish; Fresh Or Chilled, Trout (Oncorhynchus Mykiss/Clarki/Aguabonita/Gilae/Apache/Chrysogaster), Excluding Fillets, Fish Meat Of 0304, And Edible Fish Offal Of Subheadings 0302.91 To 0302.99, Other Than Whole Or Headed And Gutted"
302110031,"0302110031 Fresh Or Chilled Trout (Salmo Trutta, Oncorhynchus Mykiss, O. Clarki, O. Aguabonita, O. Gilae, O. Apache And O. Chrysogaster) (Excluding Fillets And Other Meat Of Hs 0304 And Edible Fish Offal Of Hs 03029)"
302111000,"0302111000 Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki,Oncorhynchus aquabonita, Oncorhynchus gilae"
302118019,"0302118019 Fresh Or Chilled Trout Salmo Trutta, Oncorhynchus Mykiss, Oncorhynchus Clarki, Oncorhynchus Aguabonita, Oncorhynchus Gilae (Excl. Of The Species Oncorhynchus Mykiss, With Heads On And Gills On, Gutted, Weighing > 1,2 Kg Each, Or With Heads Off, Gilled And"
302118090,"0302118090 Fresh Or Chilled Trout Salmo Trutta, Oncorhynchus Mykiss, Oncorhynchus Clarki, Oncorhynchus Aguabonita, Oncorhynchus Gilae (Excl. Of The Species Oncorhynchus Mykiss, With Heads On And Gills On, Gutted, Weighing > 1,2 Kg Each, Or With Heads Off, Gilled And"
302120000,"0302120000 Salmones Del Pacifico (Oncorhynchu Spp),Salmones Del Atlantico (Salmo Cho Hucho) Fresco O Refrigerado Cho Hucho) Fresco O Refrigerado"
302130000,"0302130000 Pacific Salmon(Oncorhynchus Nerka, Oncorhynchus Gorbuscha, Oncorhynchus Keta, Oncorhynchus Tschawytscha, Oncorhynchus Kisutch, Oncorhynchus Masou And Oncorhynchus Rhodurus)"
302130010,"0302130010 Fresh Or Chilled Pacific Salmon (Oncorhynchus Nerka, Oncorhynchus Gorbuscha, Oncorhynchus Keta, Oncorhynchus Tschawytscha, Oncorhynchus Kisutch, Oncorhynchus Masou & Oncorhynchus Rhodrus) (Excl. Fillets And Meat Of Hs 0304 & Livers & Roes)"
302130011,"0302130011 Fresh Or Chilled Pacific Salmon (Oncorhynchus Nerka, O. Gorbuscha, O. Keta, O. Tschawytscha, O. Kisutch, O. Masou & O. Rhodrus) (Excluding Fillets And Other Meat Of Hs 0304 And Edible Fish Offal Of Hs 03029)"
302130012,"0302130012 Chinook (King) Salmon, Excluding Fillets, Livers And Roes, Fresh Or Chilled"
302130013,"0302130013 Chinook (King) Salmon, Farmed, Fresh Or Chilled, Except Fillets, Livers And Roes"
302130015,"0302130015 Fish; Fresh Or Chilled, Pacific Salmon (OncorhynchusNerka/Gorbuscha/Keta/Tschawytscha/Kisutch/Masou/Rhodurus), Excluding Fillets, Livers,Roes, And Other Fish Meat Of Heading 0304, Headed And Gutted"
302130020,"0302130020 Coho Salmon, Fresh Or Chilled, Excl Fish Of No 03.04, Excl Livers And Roes"
302130022,"0302130022 Chum (Dog) Salmon, Fresh Or Chilled, Except Fillets, Livers And Roes"
302130029,"0302130029 Fish; Fresh Or Chilled, Pacific Salmon (Oncorhynchus Nerka/Gorbuscha/Keta/Tschawytscha/Kisutch/Masou/Rhodurus), Excluding Fillets, Fish Meat Of 0304, And Edible Fish Offal Of Subheadings 0302.91 To 0302.99, Other Than Whole Or Headed And Gutted"
302130030,"0302130030 Pink Salmon, Fresh Or Chilled, Excl Fish Of No 03.04, Excl Livers And Roes"
302130032,"0302130032 Pink (Humpie) Salmon, Fresh Or Chilled, Except Fillets, Livers And Roes"
302130040,"0302130040 Sockeye Salmon, Fresh/Chilled, Excl Fish Of No 03.04, Excl Livers And Roes"
302130042,"0302130042 Sockeye (Red) Salmon, Fresh Or Chilled, Except Fillets, Livers And Roes"
302130050,"0302130050 Spring Salmon, Fresh/Chilled, Excl Fish Of No 03.04, Excl Livers And Roes"
302130052,"0302130052 Coho (Silver) Salmon, Excluding Fillets, Livers And Roes, Fresh Or Chilled"
302130053,"0302130053 Coho (Silver) Salmon, Farmed, Fresh Or Chilled, Except Fillets, Livers And Roes"
302130054,"0302130054 Coho (Silver) Salmon, Fresh Or Chilled, Except Farmed, Fillets, Livers And Roes"
302130062,"0302130062 Pacific Salmon (Oncorhynchus Nerka, Oncorhynch Gorbuscha, Etc), Fresh Or Chilled, Except Fillets, Livers And Roes"
302130090,"0302130090 Other Pacific Salmon,Fresh/Chilled,Excl Fish Of No 03.04,Excl Livers & Roes,Nes"
302140000,0302140000 Atlantic Salmon(Salmo Salar) And Danube Salmon(Hucho Hucho)
302140003,"0302140003 Atlantic Salmon (Salmo Salar), Farmed, Fresh Or Chilled, Except Fillets, Livers And Roes"
302140004,"0302140004 Atlantic Salmon (Salmo Salar), Fresh Or Chilled, Except Farmed, Fillets, Livers And Roes"
302140010,0302140010 Fresh Or Chilled Atlantic Salmon Salmo Salar And Danube Salmon Hucho Hucho
302140015,"0302140015 Fish; Fresh Or Chilled, Atlantic Salmon (Salmo Salar) And Danube Salmon (Hucho Hucho),Excluding Fillets, Livers, Roes, And Other Fish Meat Of Heading 0304, Headed And Gutted"
302140019,"0302140019 Other Atlantic Salmon,Fresh/Chilled,Excl Fish Of No 03.04,Excl Livers & Roes,Nes"
302140020,0302140020 Fresh Or Chilled Atlantic Salmon (Salmo Salar) And Danube Salmon (Hucho Hucho) (Excl. Fillets And Other Meat Of Hs 0304 And Livers And Roes)
302140021,0302140021 Fresh Or Chilled Atlantic Salmon (Salmo Salar) And Danube Salmon (Hucho Hucho) (Excluding Fillets And Other Meat Of Hs 0304 And Edible Fish Offal Of Hs 03029)
302140029,"0302140029 Fish; Fresh Or Chilled, Atlantic Salmon (Salmo Salar) And Danube Salmon (Hucho Hucho), Excluding Fillets, Fish Meat Of 0304, And Edible Fish Offal Of Subheadings 0302.91 To 0302.99, Other Than Whole Or Headed And Gutted"
302140062,"0302140062 Danube Salmon (Hucho Hucho), Fresh Or Chilled, Except Fillets, Livers And Roes"
302140090,0302140090 Fresh Or Chilled Atlantic Salmon Salmo Salar And Danube Salmon Hucho Hucho
302141000,0302141000 Saumons De L'Atlantique (Salmo Salar)
302190000,"0302190000 Salmonidae, Fresh Or Chilled, Except Fillets, Livers And Roes, Nesoi"
302190080,0302190080 Autres Salmonides Frais Sauf Coregones
303792001,0303792001 Milkfish (Bangus)
30384100000,030384100000 Avrupa Deniz Levrei (Dicentrarchus Labrax); Dondurulmu
303891100,0303891100 Grouper
3038911000,03038911000 Grouper
302692003,0302692003 Catfish (Hito)
302710000,"0302710000 Tilapias, Fresh Or Chilled, Excluding Fillets, Livers And Roes"
302710032,0302710032 Fresh Or Chilled Tilapias (Oreochromis Spp.) (Excluding Fillets And Other Meat Of Hs 0304 And Edible Fish Offal Of Hs 03029)
302711100,"0302711100 Tilapias, Fresh Or Chilled, Scaled, In Immediate Containers Weighing With Their Contents 6.8 Kg Or Less, Except Fillets, Livers And Roes"
302715000,"0302715000 Tilapias, Fresh Or Chilled, Except Fillets, Livers And Roes, Nesoi"
302720000,"0302720000 Catfish, Fresh Or Chilled, Excluding Fillets, Livers And Roes"
302720033,"0302720033 Fresh Or Chilled Catfish (Pangasius Spp., Silurus Spp., Clarias Spp., Ictalurus Spp.) (Excluding Fillets And Other Meat Of Hs 0304 And Edible Fish Offal Of Hs 03029)"
302721000,"0302721000 Yellowtail Catfish, Excl.Fillets, Livers And Roes, Fresh Or Chilled"
302721100,"0302721100 Catfish, Fresh Or Chilled, Scaled, In Immediate Containers Weighing With Their Contents 6.8 Kg Or Less, Except Fillets, Livers And Roes"
302725034,"0302725034 Catfish, Fresh Or Chilled, Except Fillets, Livers And Roes, Nesoi"
302729000,0302729000 Walking Catfish
302730000,"0302730000 Carp, Fresh Or Chilled, Excluding Fillets, Livers And Roes"
