Product,Product_Description
3048953,03048953 Frozen Catfish Fillets In Skinned Portions
3048963,03048963 Frozen Catfish Fillets In Unskinned Portions
3049229,03049229 Bacados De Salmon Al Vacio De 360 Gr Congelado (Salmo Salar)
3049300,"03049300 Frozen Meat Of Tilapias (Oreochromis Spp.), Catfish (Pangasius Spp., Silurus Spp., Clarias Spp., Ictalurus Spp.), Carp, Eels (Anguilla Spp.), Nile Perch (Lates Niloticus) And Snakeheads (Channa Spp.), Whether Or Not Minced (Excl. Fillets)"
3049301,"03049301 De Tilapias (Oreochromis Spp.), Bagre O Pez Gato (Pangasius Spp., Silurus Spp., Clarias Spp., Ictalurus Spp.), Carpas (Cyprinus Carpio, Carassius Carassius, Ctenopharyngodon Idellus, Hypophthalmichthys Spp., Cirrhinus Spp., Mylopharyngodon Piceus), Angui"
3049310,"03049310 Frozen Surimi Of Tilapia Oreochromis Spp., Catfish Pangasius Spp., Silurus Spp., Clarias Spp., Ictalurus Spp., Carp Cyprinus Carpio, Carassius Carassius, Ctenopharyngodon Idellus, Hypophthalmichthys Spp., Cirrhinus Spp.,"
3049390,"03049390 Frozen Meat, Whether Or Not Minced, Of Tilapia Oreochromis Spp., Catfish Pangasius Spp., Silurus Spp., Clarias Spp., Ictalurus Spp., Carp Cyprinus Carpio, Carassius Carassius, Ctenopharyngodon Idellus, Hypophthalmichthys"
3049903,"03049903 Of Pacific Salmon (Oncorhynchus Nerka, Oncorhynchus Gorbuscha, Oncorhynchus Keta, Oncorhynchus Tschawytscha, Oncorhynchus Kisutch, Oncorhynchus Masou And Oncorhynchus Rhodurus), Atlantic Salmon(Salmo Salar) Og Danube Salmon (Hucho Hucho)"
3049942,03049942 Las Dems Carnes De Salmones Del Pacfico
3049943,03049943 Trozos De Salmones Del Atlntico Y Salmones Del Danubio
3049944,03049944 Las Dems Carnes De Salmones Del Atlntico Y Salmones Del
3052030,"03052030 Salmon Roe, Dried, Smoked, Salted Or In Brine"
3053100,"03053100 Fillets, Dried, Salted Or In Brine, But Not Smoked, Of Tilapia Oreochromis Spp., Catfish Pangasius Spp., Silurus Spp., Clarias Spp., Ictalurus Spp., Carp Cyprinus Carpio, Carassius Carassius, Ctenopharyngodon Idellus, Hy"
3053101,"03053101 De Tilapias (Oreochromis Spp.), Bagre O Pez Gato (Pangasius Spp., Silurus Spp., Clarias Spp., Ictalurus Spp.), Carpas (Cyprinus Carpio, Carassius Carassius, Ctenopharyngodon Idellus, Hypophthalmichthys Spp., Cirrhinus Spp., Mylopharyngodon Piceus), Anguil"
